Brain Region,ENSG,logFC,AveExpr,p-value,Gene Name,Biotype,Description
Anterior Insula,ENSG00000235897,0.915843322,-1.855533717,0.025966145,TM4SF19-AS1,antisense,TM4SF19 antisense RNA 1 [Source:HGNC Symbol;Acc:41085]
Anterior Insula,ENSG00000137857,0.907661957,-1.384245994,0.010566226,DUOX1,protein_coding,dual oxidase 1 [Source:HGNC Symbol;Acc:3062]
Anterior Insula,ENSG00000200257,0.904288728,-1.909606839,0.041671228,RNU6-97P,snRNA,"RNA, U6 small nuclear 97, pseudogene [Source:HGNC Symbol;Acc:47060]"
Anterior Insula,ENSG00000005981,0.902633807,1.362066294,0.001065553,ASB4,protein_coding,ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:16009]
Anterior Insula,ENSG00000272754,0.89531361,-1.934093108,0.040218922,AL133245.2,lincRNA,
Anterior Insula,ENSG00000253793,0.895013003,-1.252397298,0.005239775,RP11-293D9.2,pseudogene,
Anterior Insula,ENSG00000255250,0.892042945,-1.722248754,0.04239686,CTD-2005H7.2,lincRNA,
Anterior Insula,ENSG00000206848,0.887034173,-1.226810088,0.002599507,RNU6-890P,snRNA,"RNA, U6 small nuclear 890, pseudogene [Source:HGNC Symbol;Acc:47853]"
Anterior Insula,ENSG00000236581,0.884740824,-1.555961042,0.03408738,STARD13-AS,processed_transcript,STARD13 antisense RNA [Source:HGNC Symbol;Acc:40873]
Anterior Insula,ENSG00000255750,0.881977079,-1.645440098,0.02027544,RP11-283G6.5,antisense,
Anterior Insula,ENSG00000252755,0.872546865,-1.89410312,0.030992447,RNU6-703P,snRNA,"RNA, U6 small nuclear 703, pseudogene [Source:HGNC Symbol;Acc:47666]"
Anterior Insula,ENSG00000182500,0.869709601,-1.592719373,0.009650818,ORAI1,protein_coding,ORAI calcium release-activated calcium modulator 1 [Source:HGNC Symbol;Acc:25896]
Anterior Insula,ENSG00000207034,0.863243979,-1.677637248,0.030328683,Y_RNA,misc_RNA,Y RNA [Source:RFAM;Acc:RF00019]
Anterior Insula,ENSG00000073737,0.862519577,0.519357276,0.008358676,DHRS9,protein_coding,dehydrogenase/reductase (SDR family) member 9 [Source:HGNC Symbol;Acc:16888]
Anterior Insula,ENSG00000256069,0.851177458,-1.769474478,0.033816916,A2MP1,pseudogene,alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:8]
Anterior Insula,ENSG00000207428,0.847995203,-1.536549821,0.016926739,RNU6-95P,snRNA,"RNA, U6 small nuclear 95, pseudogene [Source:HGNC Symbol;Acc:47058]"
Anterior Insula,ENSG00000228043,0.840534122,-1.727041317,0.029085755,AC097721.2,lincRNA,
Anterior Insula,ENSG00000145283,0.840133005,-1.494861986,0.029041538,SLC10A6,protein_coding,"solute carrier family 10 (sodium/bile acid cotransporter), member 6 [Source:HGNC Symbol;Acc:30603]"
Anterior Insula,ENSG00000224097,0.836411447,-1.112482174,0.017237968,RP11-472B18.1,pseudogene,
Anterior Insula,ENSG00000131944,0.831286231,-1.077371569,0.004470884,C19orf40,protein_coding,chromosome 19 open reading frame 40 [Source:HGNC Symbol;Acc:28467]
Anterior Insula,ENSG00000246334,0.828136078,-1.620776327,0.034833897,PRR7-AS1,antisense,PRR7 antisense RNA 1 [Source:HGNC Symbol;Acc:27961]
Anterior Insula,ENSG00000214093,0.815653086,-1.910301566,0.028800193,RP11-247I13.3,pseudogene,
Anterior Insula,ENSG00000238244,0.808326373,-1.407435426,0.010185547,GABARAPL3,protein_coding,"GABA(A) receptors associated protein like 3, pseudogene [Source:HGNC Symbol;Acc:4069]"
Anterior Insula,ENSG00000201592,0.800658185,-1.3424651,0.035711447,snoU2_19,snoRNA,Small nucleolar RNA U2-19 [Source:RFAM;Acc:RF00494]
Anterior Insula,ENSG00000259090,0.800239507,-1.428507659,0.015323655,RP11-173D9.5,pseudogene,
Anterior Insula,ENSG00000256732,0.79777739,-1.697620761,0.044917249,RP11-407A16.3,lincRNA,
Anterior Insula,ENSG00000121314,0.795733751,-1.574335461,0.045683375,TAS2R8,protein_coding,"taste receptor, type 2, member 8 [Source:HGNC Symbol;Acc:14915]"
Anterior Insula,ENSG00000250602,0.793761436,-1.262801283,0.046792317,RP11-517I3.1,antisense,
Anterior Insula,ENSG00000261315,0.79057829,-0.366161039,0.006258672,LARP4P,pseudogene,"La ribonucleoprotein domain family, member 4 pseudogene [Source:HGNC Symbol;Acc:21438]"
Anterior Insula,ENSG00000163823,0.787342191,1.127563587,0.044616309,CCR1,protein_coding,chemokine (C-C motif) receptor 1 [Source:HGNC Symbol;Acc:1602]
Anterior Insula,ENSG00000233862,0.786796043,-0.417964439,0.002807259,AC016907.3,antisense,
Anterior Insula,ENSG00000171815,0.784259966,-1.802885485,0.022151455,PCDHB1,protein_coding,protocadherin beta 1 [Source:HGNC Symbol;Acc:8680]
Anterior Insula,ENSG00000140968,0.781336674,1.969984055,0.01494311,IRF8,protein_coding,interferon regulatory factor 8 [Source:HGNC Symbol;Acc:5358]
Anterior Insula,ENSG00000115718,0.779082343,-1.294110829,0.037592563,PROC,protein_coding,protein C (inactivator of coagulation factors Va and VIIIa) [Source:HGNC Symbol;Acc:9451]
Anterior Insula,ENSG00000272702,0.775608393,-1.511982163,0.036397096,RP11-44N22.3,processed_transcript,
Anterior Insula,ENSG00000185972,0.770883927,-1.380806242,0.020994602,CCIN,protein_coding,calicin [Source:HGNC Symbol;Acc:1568]
Anterior Insula,ENSG00000269483,0.767944973,-0.766681918,0.01204255,AC006272.1,lincRNA,
Anterior Insula,ENSG00000226102,0.767822568,0.674346823,0.026380558,SEPT7P3,pseudogene,septin 7 pseudogene 3 [Source:HGNC Symbol;Acc:38038]
Anterior Insula,ENSG00000201944,0.765749674,-0.572590228,0.029189693,SNORA72,snoRNA,Small nucleolar RNA SNORA72 [Source:RFAM;Acc:RF00139]
Anterior Insula,ENSG00000168062,0.758332862,-1.309218777,0.01494156,BATF2,protein_coding,"basic leucine zipper transcription factor, ATF-like 2 [Source:HGNC Symbol;Acc:25163]"
Anterior Insula,ENSG00000222255,0.757840796,-1.127767536,0.04882871,RNU6-101P,snRNA,"RNA, U6 small nuclear 101, pseudogene [Source:HGNC Symbol;Acc:47064]"
Anterior Insula,ENSG00000165841,0.750170297,0.326201862,0.008150806,CYP2C19,protein_coding,"cytochrome P450, family 2, subfamily C, polypeptide 19 [Source:HGNC Symbol;Acc:2621]"
Anterior Insula,ENSG00000223477,0.750159825,0.024856946,0.012979331,LINC00842,lincRNA,long intergenic non-protein coding RNA 842 [Source:HGNC Symbol;Acc:44989]
Anterior Insula,ENSG00000233926,0.749817727,-1.977158977,0.014545144,RP11-154D17.1,lincRNA,
Anterior Insula,ENSG00000269051,0.749699927,0.094152801,0.002248101,CTD-2245F17.3,lincRNA,
Anterior Insula,ENSG00000181085,0.748220696,0.439102948,0.016899211,MAPK15,protein_coding,mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:24667]
Anterior Insula,ENSG00000228653,0.742803292,-1.762336979,0.046707038,HNRNPCP7,pseudogene,heterogeneous nuclear ribonucleoprotein C pseudogene 7 [Source:HGNC Symbol;Acc:48818]
Anterior Insula,ENSG00000255197,0.740989611,-1.567535415,0.009160766,RP11-750H9.5,antisense,
Anterior Insula,ENSG00000236532,0.735288481,-1.548297231,0.025134124,AL035610.2,lincRNA,
Anterior Insula,ENSG00000257135,0.732900298,-0.470435307,0.017187622,RP11-320M2.1,lincRNA,
Anterior Insula,ENSG00000254307,0.724705867,-1.365292757,0.046211638,KB-1608C10.2,antisense,
Anterior Insula,ENSG00000229962,0.724682454,-0.913389202,0.011723143,AP000221.1,lincRNA,
Anterior Insula,ENSG00000214190,0.721218501,-0.832354692,0.007783487,RP11-12D24.7,pseudogene,
Anterior Insula,ENSG00000169026,0.719112841,-1.222654873,0.005365219,MFSD7,protein_coding,major facilitator superfamily domain containing 7 [Source:HGNC Symbol;Acc:26177]
Anterior Insula,ENSG00000166246,0.714239979,-1.547216124,0.028757875,C16orf71,protein_coding,chromosome 16 open reading frame 71 [Source:HGNC Symbol;Acc:25081]
Anterior Insula,ENSG00000182508,0.714054441,2.038915161,0.007149612,LHFPL1,protein_coding,lipoma HMGIC fusion partner-like 1 [Source:HGNC Symbol;Acc:6587]
Anterior Insula,ENSG00000261474,0.713535683,-0.163507304,0.001918578,RP11-452L6.1,lincRNA,
Anterior Insula,ENSG00000241494,0.709306161,-0.360981666,0.00720405,RP11-796G6.1,pseudogene,
Anterior Insula,ENSG00000181798,0.707777782,1.214973275,0.000321159,LINC00471,processed_transcript,long intergenic non-protein coding RNA 471 [Source:HGNC Symbol;Acc:28668]
Anterior Insula,ENSG00000267296,0.70266788,-1.535336866,0.048593741,CEBPA-AS1,antisense,
Anterior Insula,ENSG00000176732,0.701708358,-0.907590412,0.04318727,PFN4,protein_coding,"profilin family, member 4 [Source:HGNC Symbol;Acc:31103]"
Anterior Insula,ENSG00000213236,0.697007407,-1.449552667,0.021080494,YWHAZP2,pseudogene,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta pseudogene 2 [Source:HGNC Symbol;Acc:31078]"
Anterior Insula,ENSG00000144648,0.695353837,-0.114203651,0.008933129,ACKR2,protein_coding,atypical chemokine receptor 2 [Source:HGNC Symbol;Acc:1565]
Anterior Insula,ENSG00000261302,0.694044397,-0.339463809,0.003554761,RP11-343H19.1,antisense,
Anterior Insula,ENSG00000228753,0.692230436,-1.545145977,0.038109745,EIF4BP2,pseudogene,eukaryotic translation initiation factor 4B pseudogene 2 [Source:HGNC Symbol;Acc:37935]
Anterior Insula,ENSG00000232759,0.688215261,-0.556659975,0.025247006,AC002480.3,antisense,
Anterior Insula,ENSG00000125898,0.687604052,-1.642493996,0.025293739,FAM110A,protein_coding,"family with sequence similarity 110, member A [Source:HGNC Symbol;Acc:16188]"
Anterior Insula,ENSG00000240498,0.687509861,0.127829183,0.024667139,CDKN2B-AS1,antisense,CDKN2B antisense RNA 1 [Source:HGNC Symbol;Acc:34341]
Anterior Insula,ENSG00000132010,0.685947802,-1.724803653,0.031259903,ZNF20,protein_coding,zinc finger protein 20 [Source:HGNC Symbol;Acc:12992]
Anterior Insula,ENSG00000263884,0.68533045,-0.626187987,0.010295164,RP11-705O1.8,lincRNA,
Anterior Insula,ENSG00000260647,0.685264779,-1.440413632,0.021234469,RP1-178F10.1,antisense,
Anterior Insula,ENSG00000188610,0.685173396,-1.787294946,0.004766934,FAM72B,protein_coding,"family with sequence similarity 72, member B [Source:HGNC Symbol;Acc:24805]"
Anterior Insula,ENSG00000217801,0.683059526,1.226501547,0.007814653,RP11-465B22.3,pseudogene,
Anterior Insula,ENSG00000260392,0.679514344,-0.451672587,0.020297152,RP11-1129I3.1,sense_overlapping,
Anterior Insula,ENSG00000146360,0.678029458,0.619494579,0.029265484,GPR6,protein_coding,G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:4515]
Anterior Insula,ENSG00000198468,0.676979613,0.721030821,0.008790234,FLVCR1-AS1,lincRNA,FLVCR1 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:39077]
Anterior Insula,ENSG00000196209,0.676337047,-0.169005156,0.048464605,SIRPB2,protein_coding,signal-regulatory protein beta 2 [Source:HGNC Symbol;Acc:16247]
Anterior Insula,ENSG00000227001,0.673465987,-1.436146264,0.025891503,NBPF2P,pseudogene,"neuroblastoma breakpoint family, member 2, pseudogene [Source:HGNC Symbol;Acc:31987]"
Anterior Insula,ENSG00000130300,0.672832573,-0.018268951,0.009973467,PLVAP,protein_coding,plasmalemma vesicle associated protein [Source:HGNC Symbol;Acc:13635]
Anterior Insula,ENSG00000245468,0.67042144,-1.596056643,0.025283409,RP11-367J11.3,lincRNA,
Anterior Insula,ENSG00000188933,0.668561562,1.557244738,0.03829168,USP32P1,pseudogene,ubiquitin specific peptidase 32 pseudogene 1 [Source:HGNC Symbol;Acc:43570]
Anterior Insula,ENSG00000186235,0.667356278,0.054918872,0.028511674,AC016757.3,protein_coding,Protein LOC151174  [Source:UniProtKB/TrEMBL;Acc:E7EUL1]
Anterior Insula,ENSG00000254485,0.665789538,-0.904251441,0.03442691,RP11-380O24.1,antisense,
Anterior Insula,ENSG00000169607,0.663907671,-0.627878713,0.04068201,CKAP2L,protein_coding,cytoskeleton associated protein 2-like [Source:HGNC Symbol;Acc:26877]
Anterior Insula,ENSG00000186628,0.661268531,-1.365172436,0.046495711,FSD2,protein_coding,fibronectin type III and SPRY domain containing 2 [Source:HGNC Symbol;Acc:18024]
Anterior Insula,ENSG00000143257,0.656981903,-0.849995853,0.048881076,NR1I3,protein_coding,"nuclear receptor subfamily 1, group I, member 3 [Source:HGNC Symbol;Acc:7969]"
Anterior Insula,ENSG00000246174,0.655886839,1.05919276,0.010457988,KCTD21-AS1,antisense,KCTD21 antisense RNA 1 [Source:HGNC Symbol;Acc:48674]
Anterior Insula,ENSG00000110719,0.651880058,-0.285808777,0.018579314,TCIRG1,protein_coding,"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3 [Source:HGNC Symbol;Acc:11647]"
Anterior Insula,ENSG00000260339,0.650646286,0.063238623,0.018858668,HEXA-AS1,antisense,HEXA antisense RNA 1 [Source:HGNC Symbol;Acc:25810]
Anterior Insula,ENSG00000219200,0.649106397,-1.080849843,0.033469543,RNASEK,protein_coding,"ribonuclease, RNase K [Source:HGNC Symbol;Acc:33911]"
Anterior Insula,ENSG00000212951,0.647305914,-1.143681745,0.018331592,RP11-211N8.3,pseudogene,
Anterior Insula,ENSG00000218175,0.647176576,-1.411739159,0.039607633,AC016739.2,pseudogene,
Anterior Insula,ENSG00000233885,0.646428081,0.274934582,0.02724748,YEATS2-AS1,antisense,YEATS2 antisense RNA 1 [Source:HGNC Symbol;Acc:41101]
Anterior Insula,ENSG00000215527,0.639102038,-1.316111984,0.00952176,AP005482.1,protein_coding,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:A8MVJ3]
Anterior Insula,ENSG00000161896,0.637019037,0.642130534,0.023829947,IP6K3,protein_coding,inositol hexakisphosphate kinase 3 [Source:HGNC Symbol;Acc:17269]
Anterior Insula,ENSG00000205045,0.635288417,-0.361344948,0.033178155,SLFN12L,protein_coding,schlafen family member 12-like [Source:HGNC Symbol;Acc:33920]
Anterior Insula,ENSG00000214279,0.628648184,1.373224269,0.025565339,RP11-108K14.4,pseudogene,
Anterior Insula,ENSG00000272769,0.627892909,1.096021313,0.018255433,RP11-725P16.2,lincRNA,
Anterior Insula,ENSG00000271427,0.627877719,-1.739653813,0.043268477,RP11-188D8.1,lincRNA,
Anterior Insula,ENSG00000238835,0.626976039,-1.618895375,0.028623821,SCARNA18,snoRNA,small Cajal body-specific RNA 18 [Source:HGNC Symbol;Acc:32559]
Anterior Insula,ENSG00000244306,0.62372375,0.207658834,0.017519603,CTD-2314B22.3,lincRNA,
Anterior Insula,ENSG00000226939,0.62282718,-0.925520953,0.034134922,AC062021.1,lincRNA,
Anterior Insula,ENSG00000260545,0.620838345,-1.311218846,0.031035003,CTB-134F13.1,antisense,
Anterior Insula,ENSG00000258999,0.620669132,-0.369740648,0.019316526,RP11-114N19.3,antisense,
Anterior Insula,ENSG00000248738,0.61744223,2.472292749,0.033109573,RP11-87E22.2,antisense,
Anterior Insula,ENSG00000157703,0.610494189,-1.097543155,0.030414725,SVOPL,protein_coding,SVOP-like [Source:HGNC Symbol;Acc:27034]
Anterior Insula,ENSG00000262903,0.610184153,-1.383193086,0.041438163,RP11-235E17.6,antisense,
Anterior Insula,ENSG00000228084,0.609873152,-0.375571337,0.013877855,RP5-884G6.2,antisense,
Anterior Insula,ENSG00000109072,0.609538427,-0.540526918,0.01803984,VTN,protein_coding,vitronectin [Source:HGNC Symbol;Acc:12724]
Anterior Insula,ENSG00000249604,0.60772906,-0.435193527,0.022851016,RP11-286E11.2,antisense,
Anterior Insula,ENSG00000139209,0.607158926,-1.368662998,0.026361232,SLC38A4,protein_coding,"solute carrier family 38, member 4 [Source:HGNC Symbol;Acc:14679]"
Anterior Insula,ENSG00000183657,0.605759,-0.0413406,0.029019672,PP13439,protein_coding,
Anterior Insula,ENSG00000110025,0.604520232,-0.717378395,0.042664675,SNX15,protein_coding,sorting nexin 15 [Source:HGNC Symbol;Acc:14978]
Anterior Insula,ENSG00000197813,0.603504987,-1.13212898,0.036832003,CTC-301O7.4,lincRNA,
Anterior Insula,ENSG00000142945,0.602622417,-0.299131691,0.009304509,KIF2C,protein_coding,kinesin family member 2C [Source:HGNC Symbol;Acc:6393]
Anterior Insula,ENSG00000271966,0.601665884,-1.360377522,0.040265501,RP11-7F18.2,lincRNA,
Anterior Insula,ENSG00000256427,0.599270475,-0.118203395,0.026381653,RP11-118B22.4,lincRNA,
Anterior Insula,ENSG00000250144,0.599206507,-0.595674387,0.042239187,RP11-553P9.1,pseudogene,
Anterior Insula,ENSG00000267692,0.595704501,-1.330504731,0.011040705,TAF9P3,pseudogene,"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa pseudogene 3 [Source:HGNC Symbol;Acc:30678]"
Anterior Insula,ENSG00000260625,0.593032646,-0.4019133,0.013807174,RP11-452L6.7,antisense,
Anterior Insula,ENSG00000121270,0.592775348,0.026539181,0.009133951,ABCC11,protein_coding,"ATP-binding cassette, sub-family C (CFTR/MRP), member 11 [Source:HGNC Symbol;Acc:14639]"
Anterior Insula,ENSG00000174977,0.59220943,0.648466136,0.003838494,AC026271.5,pseudogene,
Anterior Insula,ENSG00000178078,0.591383228,-0.438049477,0.024673848,STAP2,protein_coding,signal transducing adaptor family member 2 [Source:HGNC Symbol;Acc:30430]
Anterior Insula,ENSG00000223634,0.590193752,-1.044760482,0.031718076,AC012506.3,lincRNA,
Anterior Insula,ENSG00000213443,0.588105351,-1.386596759,0.045461228,RP11-75L1.2,pseudogene,
Anterior Insula,ENSG00000235079,0.586936362,0.55560583,0.036199926,ZRANB2-AS1,antisense,ZRANB2 antisense RNA 1 [Source:HGNC Symbol;Acc:43594]
Anterior Insula,ENSG00000248873,0.585363075,-0.40595229,0.027041638,SERBP1P6,pseudogene,SERPINE1 mRNA binding protein 1 pseudogene 6 [Source:HGNC Symbol;Acc:44635]
Anterior Insula,ENSG00000169252,0.584943101,1.3185343,0.018424505,ADRB2,protein_coding,"adrenoceptor beta 2, surface [Source:HGNC Symbol;Acc:286]"
Anterior Insula,ENSG00000173626,0.584661695,-1.687130061,0.049130612,TRAPPC3L,protein_coding,trafficking protein particle complex 3-like [Source:HGNC Symbol;Acc:21090]
Anterior Insula,ENSG00000267868,0.584029117,-0.509525531,0.014504041,RP11-120K24.3,lincRNA,
Anterior Insula,ENSG00000140675,0.5814258,-0.521864495,0.039003892,SLC5A2,protein_coding,"solute carrier family 5 (sodium/glucose cotransporter), member 2 [Source:HGNC Symbol;Acc:11037]"
Anterior Insula,ENSG00000124549,0.581316457,-0.393374016,0.028308125,BTN2A3P,pseudogene,"butyrophilin, subfamily 2, member A3, pseudogene [Source:HGNC Symbol;Acc:13229]"
Anterior Insula,ENSG00000170160,0.580029368,5.236392097,0.032322361,CCDC144A,protein_coding,coiled-coil domain containing 144A [Source:HGNC Symbol;Acc:29072]
Anterior Insula,ENSG00000272501,0.576263646,2.061863909,0.000771997,XXbac-BPG299F13.17,antisense,
Anterior Insula,ENSG00000271320,0.574920544,-0.727133724,0.044260814,RP11-1152H14.1,lincRNA,
Anterior Insula,ENSG00000259172,0.573096867,-0.240384343,0.025121245,RP11-299G20.2,antisense,
Anterior Insula,ENSG00000226747,0.568780589,-0.448513472,0.024278296,AC007966.1,antisense,
Anterior Insula,ENSG00000248830,0.567780818,-1.115228966,0.034376344,ZNF807,pseudogene,zinc finger protein 807 [Source:HGNC Symbol;Acc:33229]
Anterior Insula,ENSG00000232807,0.567191019,-0.901583106,0.046694895,RP11-536K7.3,antisense,
Anterior Insula,ENSG00000258847,0.565610144,-1.384455917,0.042721928,CTD-2014B16.3,protein_coding,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3V3P7]
Anterior Insula,ENSG00000206567,0.563302898,-0.042234082,0.034412,AC022007.5,lincRNA,
Anterior Insula,ENSG00000106128,0.561739811,-1.161674512,0.034357644,GHRHR,protein_coding,growth hormone releasing hormone receptor [Source:HGNC Symbol;Acc:4266]
Anterior Insula,ENSG00000100055,0.555971508,2.137233579,0.016640305,CYTH4,protein_coding,cytohesin 4 [Source:HGNC Symbol;Acc:9505]
Anterior Insula,ENSG00000226015,0.553055994,-0.368187008,0.04677697,CCT8P1,pseudogene,"chaperonin containing TCP1, subunit 8 (theta) pseudogene 1 [Source:HGNC Symbol;Acc:35144]"
Anterior Insula,ENSG00000245498,0.54558355,1.887467309,0.000404204,RP11-677M14.7,antisense,
Anterior Insula,ENSG00000230424,0.543703933,-1.599744864,0.044776414,RP1-43E13.2,antisense,
Anterior Insula,ENSG00000196954,0.541470171,1.330639246,0.046550676,CASP4,protein_coding,"caspase 4, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1505]"
Anterior Insula,ENSG00000162620,0.538977766,0.438826839,0.047548437,LRRIQ3,protein_coding,leucine-rich repeats and IQ motif containing 3 [Source:HGNC Symbol;Acc:28318]
