EID	Standardized.Epigenome.name	15_Quies	1_TssA	14_ReprPCWk	9_Het	7_Enh	5_TxWk	2_TssAFlnk	10_TssBiv	4_Tx	13_ReprPC	12_EnhBiv	11_BivFlnk	8_ZNF/Rpts	6_EnhG	3_TxFlnk
E045	Primary T cells effector/memory enriched from peripheral blood	0.001	0.381	0.001	0.219	1	1	0.239	1	0.945	0.001	0.936	0.662	0.957	0.974	0.586
E046	Primary Natural Killer cells from peripheral blood	0.001	0.761	0.001	0.968	0.061	1	0.702	1	1	0.261	0.929	0.94	1	1	0.888
E047	Primary T CD8+ naive cells from peripheral blood	0.001	0.394	0.001	0.676	0.911	1	0.217	0.945	1	0.001	0.995	1	0.217	0.802	1
E048	Primary T CD8+ memory cells from peripheral blood	0.001	0.375	0.001	0.747	0.915	1	0.93	1	1	0.112	0.997	0.816	0.947	1	0.697
E049	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	0.039	0.012	0.001	0.523	1	1	0.952	0.958	0.17	0.001	0.847	0.997	0.927	0.985	0.931
E050	Primary hematopoietic stem cells G-CSF-mobilized Female	0.005	0.234	0.001	0.998	0.854	1	0.472	1	1	0.001	0.837	0.849	1	1	0.963
E051	Primary hematopoietic stem cells G-CSF-mobilized Male	0.163	0.885	0.001	0.488	0.969	1	0.375	1	1	0.001	0.301	0.604	0.998	1	1
E052	Muscle Satellite Cultured Cells	0.868	0.027	0.001	0.665	0.982	0.998	0.928	1	0.904	0.001	0.248	0.979	0.925	0.952	0.999
E053	Cortex derived primary cultured neurospheres	0.979	0.146	0.001	0.001	0.998	1	0.36	0.258	0.928	0.001	0.002	0.289	0.786	0.998	0.927
E054	Ganglion Eminence derived primary cultured neurospheres	0.911	0.261	0.001	0.024	0.996	1	0.221	0.499	0.926	0.002	0.002	0.582	0.973	0.838	0.962
E055	Foreskin Fibroblast Primary Cells skin01	0.927	0.753	0.001	0.001	0.999	1	0.733	0.111	0.237	0.001	0.015	0.999	0.999	0.201	0.971
E056	Foreskin Fibroblast Primary Cells skin02	0.925	0.875	0.001	0.001	0.996	1	0.001	0.35	0.001	0.001	0.968	0.948	0.151	0.615	0.356
E057	Foreskin Keratinocyte Primary Cells skin02	0.059	0.587	0.001	0.705	0.965	1	0.025	0.889	0.987	0.003	0.555	0.994	0.908	0.816	1
E058	Foreskin Keratinocyte Primary Cells skin03	0.001	0.638	0.001	0.017	0.961	1	0.155	0.001	1	0.049	0.002	1	1	1	1
E059	Foreskin Melanocyte Primary Cells skin01	1	0.315	0.001	0.03	0.969	0.985	0.304	0.943	0.001	0.001	0.051	0.981	0.448	1	1
E061	Foreskin Melanocyte Primary Cells skin03	0.004	0.958	0.001	0.958	0.932	1	0.012	0.271	0.988	0.001	0.073	0.995	0.876	1	0.994
E062	Primary mononuclear cells from peripheral blood	0.005	0.024	0.001	0.999	0.162	1	0.902	0.112	0.973	0.001	0.877	1	0.066	1	0.999
E063	Adipose Nuclei	0.888	0.767	0.001	0.558	0.694	1	0.069	1	0.538	0.001	0.749	0.617	0.933	0.994	0.997
E065	Aorta	0.959	0.837	0.001	0.001	0.985	1	0.992	0.044	0.044	0.001	1	0.001	0.291	0.997	1
E066	Liver	0.001	0.992	0.001	0.24	1	1	0.786	1	1	0.011	0.936	1	0.001	1	1
E067	Brain Angular Gyrus	0.25	0.241	0.001	1	1	1	0.651	0.979	0.933	0.001	0.605	1	0.629	1	0.956
E068	Brain Anterior Caudate	0.545	0.019	0.001	0.485	0.977	1	0.461	0.958	0.956	0.029	0.977	0.695	0.008	0.838	0.802
E069	Brain Cingulate Gyrus	1	0.034	0.001	0.94	0.996	1	0.91	0.238	0.998	0.001	0.982	0.74	0.207	0.745	0.021
E070	Brain Germinal Matrix	1	0.209	0.001	0.432	0.955	0.307	0.021	0.593	0.888	0.001	0.019	0.431	0.016	0.994	1
E071	Brain Hippocampus Middle	0.991	0.012	0.001	0.059	1	1	0.669	0.814	0.962	0.001	0.717	0.584	0.091	0.984	0.858
E072	Brain Inferior Temporal Lobe	0.479	0.006	0.001	0.482	1	1	0.894	0.343	0.997	0.001	0.003	0.908	0.017	0.974	0.335
E073	Brain_Dorsolateral_Prefrontal_Cortex	0.999	0.033	0.001	0.165	0.784	0.998	0.962	0.008	0.999	0.001	0.852	1	0.001	0.804	0.995
E074	Brain Substantia Nigra	0.259	0.1	0.001	0.932	0.997	1	0.804	0.79	0.966	0.001	0.018	0.811	0.018	1	0.048
E075	Colonic Mucosa	1	0.48	0.001	0.969	0.371	0.816	0.091	0.131	0.015	0.001	0.465	0.925	0.264	0.998	1
E076	Colon Smooth Muscle	1	0.03	0.001	0.001	0.855	0.991	0.665	0.494	0.48	0.001	0.087	0.967	0.026	0.999	1
E077	Duodenum Mucosa	0.997	0.298	0.001	0.852	0.984	0.846	0.849	0.219	1	0.001	0.081	0.807	0.849	1	1
E078	Duodenum Smooth Muscle	1	0.114	0.001	0.001	0.998	0.698	0.733	0.617	0.96	0.001	0.978	0.395	0.707	1	1
E079	Esophagus	0.718	0.473	0.016	0.997	0.001	0.937	0.368	0.125	0.171	0.001	0.627	1	0.001	0.999	0.541
E080	Fetal Adrenal Gland	0.978	0.635	0.001	1	0.734	1	0.053	0.001	0.773	0.001	0.035	0.66	0.001	1	1
E081	Fetal Brain Male	1	0.717	0.001	0.001	0.001	0.998	0.932	1	1	0.001	0.493	1	0.348	0.987	1
E082	Fetal Brain Female	1	0.054	0.001	0.104	0.986	0.786	0.504	0.001	0.982	0.001	0.239	0.995	0.324	0.99	0.987
E083	Fetal Heart	0.004	0.783	0.001	0.876	0.927	1	0.926	0.001	0.662	0.001	0.767	1	0.171	0.861	1
E084	Fetal Intestine Large	0.704	0.451	0.001	0.982	0.904	1	0.725	0.913	0.998	0.001	0.002	0.808	0.179	0.981	0.449
E085	Fetal Intestine Small	0.001	0.25	0.001	0.154	0.996	1	0.001	1	0.56	0.001	0.155	0.112	0.382	0.969	0.993
E086	Fetal Kidney	1	0.022	0.001	0.518	0.989	0.166	0.898	0.349	1	0.001	0.153	1	0.995	1	0.969
E087	Pancreatic Islets	0.886	0.568	0.001	0.025	1	0.999	0.999	0.942	0.883	0.003	1	1	0.137	0.001	1
E088	Fetal Lung	0.119	0.118	0.001	0.001	0.197	1	0.885	0.992	0.983	0.001	0.808	0.856	0.001	1	0.905
E089	Fetal Muscle Trunk	0.985	0.769	0.001	0.783	0.031	1	0.003	0.002	0.811	0.001	0.001	0.873	0.057	0.699	0.849
E090	Fetal Muscle Leg	0.421	0.131	0.001	0.037	0.001	1	0.051	0.013	0.999	0.001	0.356	0.831	0.01	0.535	0.996
E091	Placenta	0.001	0.73	0.001	0.001	0.148	1	0.645	1	0.998	0.001	0.761	0.94	0.268	0.917	0.834
E092	Fetal Stomach	0.995	0.763	0.001	0.002	0.988	1	0.026	0.81	0.001	0.001	0.001	0.72	0.053	0.937	0.961
E093	Fetal Thymus	0.001	0.898	0.001	0.464	0.783	0.989	0.391	0.99	1	0.001	0.228	0.192	0.16	0.998	0.988
E094	Gastric	0.01	0.597	0.014	0.37	0.077	0.998	0.407	1	0.174	1	0.001	1	0.004	1	1
E095	Left Ventricle	0.001	0.742	0.001	0.989	0.36	1	0.001	0.001	0.986	0.001	0.99	0.992	0.74	0.993	0.907
E096	Lung	0.017	0.866	0.001	0.001	0.001	1	0.118	1	0.072	0.001	0.001	0.001	0.308	1	1
E097	Ovary	0.918	0.165	0.001	0.001	0.306	1	0.535	0.001	0.001	0.001	0.513	1	0.01	1	1
E098	Pancreas	0.001	0.334	0.001	0.998	0.787	1	0.427	1	0.045	1	1	1	0.005	0.923	1
E099	Placenta Amnion	1	0.649	0.001	0.529	0.705	1	0.411	1	0.216	0.079	0.633	0.001	0.157	0.946	0.001
E100	Psoas Muscle	0.001	0.301	0.001	0.001	0.863	1	0.627	0.467	1	0.511	0.746	0.747	0.073	0.971	1
E101	Rectal Mucosa Donor 29	1	0.286	0.001	0.992	0.075	0.993	0.602	0.703	0.792	0.001	0.005	0.766	0.878	1	1
E102	Rectal Mucosa Donor 31	1	0.038	0.001	0.078	0.987	0.787	0.881	0.502	0.965	0.001	0.062	0.946	0.855	1	0.979
E103	Rectal Smooth Muscle	0.2	0.022	0.001	0.001	0.666	1	0.422	0.665	0.938	0.001	0.787	0.211	0.181	0.944	1
E104	Right Atrium	1	0.265	0.001	1	0.72	0.001	0.14	1	0.021	0.209	1	1	0.001	1	0.152
E105	Right Ventricle	1	0.509	0.001	0.955	0.009	1	0.736	0.001	0.658	0.001	0.697	0.123	0.124	0.561	1
E106	Sigmoid Colon	1	0.967	0.001	0.001	0.855	1	0.725	0.169	0.917	0.001	0.156	1	0.681	0.999	1
E107	Skeletal Muscle Male	0.905	0.384	0.001	0.998	0.256	1	0.496	0.23	0.935	0.001	0.3	0.264	0.343	1	1
E108	Skeletal Muscle Female	0.956	0.012	0.001	1	0.691	1	0.842	0.947	1	0.001	0.162	0.99	0.174	1	1
E109	Small Intestine	0.999	0.647	0.001	0.83	1	1	0.995	0.93	0.999	0.001	1	1	0.277	0.997	1
E110	Stomach Mucosa	1	0.28	0.001	0.344	0.896	0.98	0.896	0.641	0.938	0.001	0.864	1	0.703	1	1
E111	Stomach Smooth Muscle	1	0.001	0.001	0.005	0.997	0.999	0.886	0.584	0.032	0.001	0.158	0.213	0.001	1	1
E112	Thymus	0.001	0.072	0.001	0.563	1	1	0.965	0.718	1	0.001	0.12	0.736	0.201	0.998	0.998
E113	Spleen	0.031	0.868	0.002	0.195	0.435	1	0.681	1	0.001	0.001	0.001	0.793	0.108	0.999	0.001
E114	A549 EtOH 0.02pct Lung Carcinoma Cell Line	0.001	0.623	0.001	0.001	1	1	0.903	0.001	1	0.001	0.063	0.22	0.595	1	1
E115	Dnd41 TCell Leukemia Cell Line	0.271	0.624	0.001	0.895	0.999	0.998	0.729	1	1	0.001	0.042	0.556	0.557	1	0.999
E116	GM12878 Lymphoblastoid Cells	0.001	0.986	0.001	0.374	0.814	1	0.754	1	1	0.001	0.451	1	1	0.985	1
E117	HeLa-S3 Cervical Carcinoma Cell Line	0.075	0.13	0.001	0.822	1	1	0.999	0.001	1	0.001	0.254	1	1	0.998	1
E118	HepG2 Hepatocellular Carcinoma Cell Line	1	0.001	0.001	0.001	1	0.994	0.814	1	0.994	0.001	0.008	0.48	0.879	1	1
E119	HMEC Mammary Epithelial Primary Cells	0.004	0.824	0.001	0.974	1	0.938	0.259	1	1	0.001	0.914	0.121	0.92	0.77	1
E120	HSMM Skeletal Muscle Myoblasts Cells	0.003	0.051	0.001	0.124	0.94	1	0.045	0.565	1	0.001	1	1	0.734	0.423	1
E121	HSMM cell derived Skeletal Muscle Myotubes Cells	0.904	0.41	0.007	0.595	0.583	1	0.121	0.975	0.09	0.001	0.087	1	0.131	0.646	0.317
E122	HUVEC Umbilical Vein Endothelial Primary Cells	0.541	0.572	0.001	0.607	0.001	0.8	0.905	1	0.99	0.304	0.944	0.998	0.993	1	1
E123	K562 Leukemia Cells	0.001	0.78	0.001	0.06	0.999	1	0.89	0.326	1	0.001	0.991	1	0.315	1	0.997
E124	Monocytes-CD14+ RO01746 Primary Cells	0.482	0.444	0.001	0.002	0.597	1	0.924	0.944	1	0.001	0.544	0.729	0.872	0.304	0.906
E125	NH-A Astrocytes Primary Cells	0.001	0.396	0.001	0.075	1	1	0.042	0.665	1	0.001	0.251	1	0.526	1	1
E126	NHDF-Ad Adult Dermal Fibroblast Primary Cells	0.393	0.127	0.001	1	1	0.989	0.702	1	0.956	0.001	0.984	0.001	0.674	0.994	0.99
E127	NHEK-Epidermal Keratinocyte Primary Cells	0.001	0.213	0.001	1	1	1	0.122	0.813	0.972	0.017	0.961	0.98	0.597	0.953	1
E128	NHLF Lung Fibroblast Primary Cells	0.187	0.145	0.375	0.989	1	0.344	0.292	0.995	0.099	0.001	0.257	1	0.284	1	0.999
E129	Osteoblast Primary Cells	0.001	0.004	0.301	0.998	1	1	0.696	0.998	0.213	0.001	0.954	0.007	0.843	1	1
