"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"51","GO:0009161",0.000708485355437626,4.60084541062802,1.95998987085338,8,215,"ribonucleoside monophosphate metabolic process"
"52","GO:0002040",0.000713364666723382,11.1692969870875,0.410230438085591,4,45,"sprouting angiogenesis"
"53","GO:0044093",0.00075679503410514,2.61348736808443,8.77893137503165,19,963,"positive regulation of molecular function"
"54","GO:0070665",0.000773781498521033,7.71243781094527,0.729298556596607,5,80,"positive regulation of leukocyte proliferation"
"55","GO:0045198",0.000805180969932269,74.5047619047619,0.0455811597872879,2,5,"establishment of epithelial cell apical/basal polarity"
"56","GO:0009141",0.000848495495995314,4.46772300469484,2.01468726259813,8,221,"nucleoside triphosphate metabolic process"
"57","GO:0010562",0.000890529243587216,3.10856619331196,4.84071916940998,13,531,"positive regulation of phosphorus metabolic process"
"58","GO:0045937",0.000890529243587216,3.10856619331196,4.84071916940998,13,531,"positive regulation of phosphate metabolic process"
"59","GO:0022407",0.000899830976819664,4.425,2.03291972651304,8,223,"regulation of cell-cell adhesion"
"60","GO:0046634",0.000912646700129728,10.403743315508,0.437579133957964,4,48,"regulation of alpha-beta T cell activation"
"61","GO:0045580",0.000915008161061009,7.41293532338308,0.756647252468979,5,83,"regulation of T cell differentiation"
"62","GO:0006119",0.000966097158233085,7.3181560551672,0.765763484426437,5,84,"oxidative phosphorylation"
"63","GO:0009123",0.000981496910659717,4.36238532110092,2.06026842238541,8,226,"nucleoside monophosphate metabolic process"
